station_code,station_name,longitude,latitude
ASR,AMRITSAR JN,74.858025,31.631511999999997
ST,SURAT,72.840793,21.206568
JHS,JHANSI JN,78.55298499999999,25.443585
GWL,GWALIOR JN,78.18229199999999,26.216483
KOTA,KOTA JN,75.8805,25.223553
SBC,BANGALORE CITY JN,77.56808299999999,12.977595
NGP,NAGPUR,79.089004,21.153567
ERS,ERNAKULAM JN,76.290672,9.969541999999999
CSTM,MUMBAI CST,72.836903,18.944481
MAS,CHENNAI CENTRAL,80.27485630000001,13.0847613
JP,JAIPUR,75.786923,26.920203
KYN,KALYAN JN,73.12974,19.234716000000002
LKO,LUCKNOW,80.925291,26.830675
DLI,OLD DELHI,77.228356,28.661815999999998
HYB,HYDERABAD DECCAN,78.467377,17.393362999999997
RJT,RAJKOT JN,70.803446,22.312206
SC,SECUNDERABAD JN,78.50148100000001,17.433146999999998
RTM,RATLAM JN,75.050826,23.34038
TVC,TRIVANDRUM CENTRAL,76.95120999999999,8.486679
PUNE,PUNE JN,73.873086,18.529378
RNC,RANCHI,85.33352,23.348811
BBS,BHUBANESWAR,85.84259499999999,20.265388
PNBE,PATNA JN,85.136824,25.60256
KOAA,KOLKATA CHITPUR,88.385179,22.601174999999998
HWH,HOWRAH JN,88.34099900000001,22.584077999999998
NDLS,NEW DELHI,77.22000399999999,28.642314
VSKP,VISHAKAPATNAM,83.289514,17.72159
ADI,AHMEDABAD JN,72.601516,23.025515
BPL,BHOPAL JN,77.4131428577,23.266884384300003
UJN,UJJAIN JN,75.781403,23.178154
MDU,MADURAI JN,78.11031399999999,9.919907
